ID,FullName,LibraryCardNumber,Phone
1,Иванов Иван Иванович,LI-0001,+7 (999) 123-45-67
2,Петров Петр Петрович,LI-0002,+7 (988) 234-56-78
3,Сидоров Сидор Сидорович,LI-0003,+7 (977) 345-67-89
4,Кузнецов Алексей Дмитриевич,LI-0004,+7 (966) 456-78-90
5,Смирнов Дмитрий Алексеевич,LI-0005,+7 (955) 567-89-01
6,Попов Михаил Сергеевич,LI-0006,+7 (944) 678-90-12
7,Лебедев Андрей Николаевич,LI-0007,+7 (933) 789-01-23
8,Волков Сергей Павлович,LI-0008,+7 (922) 890-12-34
9,Козлов Павел Андреевич,LI-0009,+7 (911) 901-23-45
10,Новиков Николай Михайлович,LI-0010,+7 (900) 012-34-56
11,Морозов Иван Петрович,LI-0011,+7 (999) 111-22-33
12,Соловьев Петр Иванович,LI-0012,+7 (988) 222-33-44
13,Васильев Алексей Сидорович,LI-0013,+7 (977) 333-44-55
14,Зайцев Дмитрий Петрович,LI-0014,+7 (966) 444-55-66
15,Павлов Михаил Алексеевич,LI-0015,+7 (955) 555-66-77
16,Семенов Андрей Дмитриевич,LI-0016,+7 (944) 666-77-88
17,Голубев Сергей Михайлович,LI-0017,+7 (933) 777-88-99
18,Виноградов Павел Андреевич,LI-0018,+7 (922) 888-99-00
19,Богданов Николай Сергеевич,LI-0019,+7 (911) 999-00-11
20,Воробьев Иван Николаевич,LI-0020,+7 (900) 000-11-22
21,Федоров Петр Алексеевич,LI-0021,+7 (999) 121-21-21
22,Михайлов Алексей Петрович,LI-0022,+7 (988) 232-32-32
23,Тарасов Дмитрий Иванович,LI-0023,+7 (977) 343-43-43
24,Белов Михаил Дмитриевич,LI-0024,+7 (966) 454-54-54
25,Комаров Андрей Павлович,LI-0025,+7 (955) 565-65-65
26,Орлов Сергей Андреевич,LI-0026,+7 (944) 676-76-76
27,Киселев Павел Сергеевич,LI-0027,+7 (933) 787-87-87
28,Макаров Николай Павлович,LI-0028,+7 (922) 898-98-98
29,Андреев Иван Андреевич,LI-0029,+7 (911) 909-09-09
30,Ковалев Петр Николаевич,LI-0030,+7 (900) 010-10-10
31,Ильин Алексей Михайлович,LI-0031,+7 (999) 131-31-31
32,Гусев Дмитрий Сергеевич,LI-0032,+7 (988) 242-42-42
33,Титов Михаил Андреевич,LI-0033,+7 (977) 353-53-53
34,Кузьмин Андрей Дмитриевич,LI-0034,+7 (966) 464-64-64
35,Кудрявцев Сергей Павлович,LI-0035,+7 (955) 575-75-75
36,Баранов Павел Алексеевич,LI-0036,+7 (944) 686-86-86
37,Куликов Николай Петрович,LI-0037,+7 (933) 797-97-97
38,Алексеев Иван Сергеевич,LI-0038,+7 (922) 808-08-08
39,Степанов Петр Дмитриевич,LI-0039,+7 (911) 919-19-19
40,Яковлев Алексей Павлович,LI-0040,+7 (900) 020-20-20
41,Сорокин Дмитрий Михайлович,LI-0041,+7 (999) 141-41-41
42,Сергеев Михаил Иванович,LI-0042,+7 (988) 252-52-52
43,Романов Андрей Алексеевич,LI-0043,+7 (977) 363-63-63
44,Захаров Сергей Дмитриевич,LI-0044,+7 (966) 474-74-74
45,Борисов Павел Николаевич,LI-0045,+7 (955) 585-85-85
46,Королев Николай Петрович,LI-0046,+7 (944) 696-96-96
47,Герасимов Иван Павлович,LI-0047,+7 (933) 707-07-07
48,Пономарев Петр Андреевич,LI-0048,+7 (922) 818-18-18
49,Григорьев Алексей Сергеевич,LI-0049,+7 (911) 929-29-29
50,Лазарев Дмитрий Михайлович,LI-0050,+7 (900) 030-30-30
